index,basin_id,basin,river_id,river,total_length,length_peru,source_place_id,source_place,source_altitude,mouth_place_id,mouth_place,mouth-altitude
119,0.4,Amazonas,119,Río Chunchubamba,45.41,45.41,5,Ayacucho,3853,5,Ayacucho,646
156,0.4,Amazonas,156,Río Huarpa,140.07,140.07,5,Ayacucho,4709,9,Huancavelica,"2,163"
198,0.5,Pacific,198,Río Mirmaca,81.55,81.55,5,Ayacucho,4291,5,Ayacucho,"1,762"
208,0.5,Pacific,208,Río Nasca,146.07,146.07,5,Ayacucho,4024,11,Ica,145
211,0.5,Pacific,211,Río Ocoña,282.67,282.67,5,Ayacucho,4725,4,Arequipa,25
213,0.5,Pacific,213,Río Oyolo,69.6,69.6,5,Ayacucho,4728,5,Ayacucho,"1,576"
222,0.5,Pacific,222,Río Paralmayoc,58.54,58.54,5,Ayacucho,4100,5,Ayacucho,894
231,0.4,Amazonas,231,Río Piene,64.91,64.91,5,Ayacucho,4190,5,Ayacucho,550
263,0.4,Amazonas,263,Río Sondondo,121.41,121.41,5,Ayacucho,4493,5,Ayacucho,"2,288"
281,0.4,Amazonas,281,Río Torobamba,59.47,59.47,5,Ayacucho,4215,3,Apurímac,"1,577"
305,0.5,Pacific,305,Río Vizcas,79.9,79.9,5,Ayacucho,4138,11,Ica,265
309,0.5,Pacific,309,Río Yauca,183.07,183.07,5,Ayacucho,4559,4,Arequipa,3
101,0.5,Pacific,101,Río Chamán,86.21,86.21,6,Cajamarca,2705,13,La Libertad,5
120,0.5,Pacific,120,Río Chuquillanqui,51.9,51.9,6,Cajamarca,3991,13,La Libertad,698
133,0.4,Amazonas,133,Río Crisnejas,151.98,151.98,6,Cajamarca,3966,6,Cajamarca,"1,055"
174,0.5,Pacific,174,Río Jequetepeque,165.08,165.08,6,Cajamarca,3912,13,La Libertad,4
176,0.5,Pacific,176,Río La Leche,95.11,95.11,6,Cajamarca,3517,14,Lambayeque,50
247,0.5,Pacific,247,Río Reque,203.93,203.93,6,Cajamarca,3866,14,Lambayeque,4
253,0.5,Pacific,253,Río San Miguel,73.74,73.74,6,Cajamarca,3828,6,Cajamarca,710
316,0.5,Pacific,316,Río Zaña,124.66,124.66,6,Cajamarca,3582,14,Lambayeque,1
219,0.4,Amazonas,219,Río Pampaconas,49.15,49.15,8,Cusco,4521,8,Cusco,785
228,0.4,Amazonas,228,Río Picha,144.89,144.89,8,Cusco,3751,8,Cusco,325
259,0.4,Amazonas,259,Río Santo Tomás,158,158,8,Cusco,4950,3,Apurímac,"2,280"
295,0.4,Amazonas,295,Río Urubamba,914.63,914.63,8,Cusco,5100,25,Ucayali,207
312,0.4,Amazonas,312,Río Yavero,332.3,332.3,8,Cusco,4982,8,Cusco,482
52,0.5,Pacific,52,Quebrada Tingue,85.19,85.19,9,Huancavelica,3891,11,Ica,301
109,0.5,Pacific,109,Río Chico,143.24,143.24,9,Huancavelica,4748,11,Ica,6
124,0.5,Pacific,124,Río Cocharcas,72.02,72.02,9,Huancavelica,3937,11,Ica,378
145,0.5,Pacific,145,Río Grande,183.84,183.84,9,Huancavelica,4432,11,Ica,5
159,0.5,Pacific,159,Río Huaytara,71.62,71.62,9,Huancavelica,4720,11,Ica,"1,263"
160,0.5,Pacific,160,Río Ica,231.3,231.3,9,Huancavelica,4389,11,Ica,4
161,0.4,Amazonas,161,Río Ichu,101.31,101.31,9,Huancavelica,4850,9,Huancavelica,"2,828"
221,0.4,Amazonas,221,Río Pampas,143.94,143.94,9,Huancavelica,4900,5,Ayacucho,"2,620"
232,0.5,Pacific,232,Río Pisco,185.27,185.27,9,Huancavelica,4703,11,Ica,7
255,0.5,Pacific,255,Río Santa Cruz,95.29,95.29,9,Huancavelica,3945,11,Ica,161
275,0.5,Pacific,275,Río Tambo,57.24,57.24,9,Huancavelica,4433,9,Huancavelica,"1,723"
301,0.4,Amazonas,301,Río Vilca,75.75,75.75,9,Huancavelica,4891,9,Huancavelica,"2,988"
264,0.6,Titicaca,264,Río Suches,34.71,28.96,Bo,Bolivia,4880,21,Puno,"4,398"
64,0.4,Amazonas,64,Río Acre,683.38,152.98,Br,Brasil,401,Br,Brasil,90
239,0.4,Amazonas,239,Río Putumayo,2004.6,1237.23,Co,Colombia,2200,Br,Brasil,55
8,0.5,Pacific,8,Quebrada Cazaderos,93.96,33.54,Ec,Ecuador,685,24,Tumbes,140
65,0.4,Amazonas,65,Río Aguarico,502.5,49.85,Ec,Ecuador,3198,16,Loreto,169
69,0.5,Pacific,69,Río Alamor,117.9,3.57,Ec,Ecuador,1451,20,Piura,113
116,0.5,Pacific,116,Río Chira,388.9,201.81,Ec,Ecuador,2328,20,Piura,0
130,0.4,Amazonas,130,Río Corriente,635.8,502.33,Ec,Ecuador,408,16,Loreto,120
137,0.4,Amazonas,137,Río Curaray,772.77,509.14,Ec,Ecuador,380,16,Loreto,122
157,0.4,Amazonas,157,Río Huasaga,350.59,237.05,Ec,Ecuador,500,16,Loreto,168
188,0.5,Pacific,188,Río Macara,142.81,99.06,Ec,Ecuador,1907,20,Piura,225
202,0.4,Amazonas,202,Río Morona,663.91,424.42,Ec,Ecuador,1125,16,Loreto,129
207,0.4,Amazonas,207,Río Napo,1089.03,582.34,Ec,Ecuador,3841,16,Loreto,78
224,0.4,Amazonas,224,Río Pastaza,786.88,353.37,Ec,Ecuador,3762,16,Loreto,125
236,0.4,Amazonas,236,Río Pucacuro,408.21,386.62,Ec,Ecuador,223,16,Loreto,118
258,0.4,Amazonas,258,Río Santiago,514.72,201.73,Ec,Ecuador,2225,1,Amazonas,163
279,0.4,Amazonas,279,Río Tigre,920.23,711.67,Ec,Ecuador,510,16,Loreto,95
283,0.5,Pacific,283,Río Tumbes,233.67,137.24,Ec,Ecuador,2091,24,Tumbes,3
315,0.5,Pacific,315,Río Zarumilla,96.85,65.16,Ec,Ecuador,651,24,Tumbes,0
