index,year,region_id,region,artisan,livestock_fisher_miner_quarry,driver,house_worker,manager_administrator_professional,salesperson,service_worker,worker,total,total_pea_thousands
216,2012,7,Callao,15.36362,0.55238,7.15968,3.70176,13.7538,19.01824,22.64708,4.41588,100,487.5
217,2012,8,Cusco,8.38895,37.685,4.19306,0.80304,10.93021,15.23519,10.26588,6.56575,100,734.7
218,2012,9,Huancavelica,2.65571,70.01282,1.85922,0.53544,4.71277,9.51038,5.47687,3.03037,100,249.5
219,2012,10,Huanuco,6.56832,52.61116,4.21922,1.42154,9.4078,11.75719,7.26669,3.27438,100,431.2
220,2012,11,Ica,11.68046,19.2264,8.11828,2.42844,11.54226,19.5747,15.76658,5.8856,100,394.2
221,2012,12,Junin,9.91229,37.13412,4.3953,1.70343,11.05134,14.60758,12.99981,4.02307,100,677.9
222,2012,13,La Libertad,12.66089,25.84306,6.12239,3.82376,10.99075,15.34136,14.22876,5.3441,100,911.1
223,2012,14,Lambayeque,9.65321,24.00222,9.00602,2.35564,11.61581,19.86622,14.36833,4.48094,100,616.3
224,2012,15,Lima,15.98713,3.28413,6.11092,4.20373,18.99072,18.5965,17.44971,3.39007,100,4866.3
225,2012,16,Loreto,6.01517,32.75643,6.05074,2.33874,11.99118,16.70075,14.89448,4.27541,100,485.4
226,2012,17,Madre de Dios,6.79083,23.27361,8.03348,1.3076,16.31151,16.94295,13.82612,5.84582,100,72.3
227,2012,18,Moquegua,8.84761,25.64378,4.6748,1.70168,14.28797,12.5504,13.99717,8.90319,100,98.3
228,2012,19,Pasco,8.42453,46.27534,4.11735,0.71598,10.54495,11.94058,8.91441,3.60342,100,152.1
229,2012,20,Piura,8.40991,29.34541,6.88138,2.34103,9.82652,18.92807,13.67314,5.77656,100,867.9
230,2012,21,Puno,9.86664,46.41594,3.94728,0.8752,7.7814,16.12775,6.76659,5.64422,100,765.2
231,2012,22,San Martin,6.84522,46.13953,4.68041,1.31237,11.02103,13.03657,8.26049,3.4194,100,415.9
232,2012,23,Tacna,10.27159,14.67021,8.44457,1.58084,13.95095,19.67004,15.58536,6.56632,100,169.6
233,2012,24,Tumbes,8.73707,13.98682,12.24818,1.76111,12.85059,21.12767,18.1055,5.0964,100,123.2
